id,companyName,symbol,securityName,status,companyEmail,website,sectorName,regulatoryBody,instrumentType
384,Resunga Bikas Bank Limited,RBSL,Resunga Bikas Bank Limited,D,resungabank@ntc.net.np,,Development Banks,Nepal Rastra Bank,Equity
385,Asian Life Insurance Co Limited,ALICL,Asian Life Insurance Co. Limited,A,asianlife@asianlife.com.np,www.asianlife.com.np,Life Insurance,Nepal Insurance Board,Equity
388,Kasthamandap Development Bank Limited,KDBL,Kasthamandap Development Bank Limited,D,kdbl@kdbl.com.np,http://www.kdbl.com.np,Development Banks,Nepal Rastra Bank,Equity
389,Sewa Bikas Bank Limited,SEWA,Sewa Bikas Bank Limited,D,info@sewabank.com.np,,Development Banks,Nepal Rastra Bank,Equity
393,Himalayan Life Insurance Limited,HLI,Himalayan Life Insurance Limited,A,rajan@primelifenepal.com,,Life Insurance,Nepal Insurance Board,Equity
394,Nilgiri Bikas Bank Limited,NGBL,Nilgiri Bikas Bank Limited,D,info@mgbl.com.np,,Development Banks,Nepal Rastra Bank,Equity
396,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,NMLBBL,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,A,info@nerude.org.np,,Microfinance,Nepal Rastra Bank,Equity
397,Agricultural Development Bank Limited,ADBL,Agricultural Development Bank Limited,A,cs@adbl.gov.np,,Commercial Banks,Nepal Rastra Bank,Equity
398,Om Development Bank Ltd.,ODBL,Om Development Bank Ltd.,D,info@ombank.com.np,http://www.ombank.com.np,Development Banks,Nepal Rastra Bank,Equity
401,Mahalaxmi Bikas Bank Ltd.,MLBL,Mahalaxmi Bikas Bank Ltd.,A,listing@mahalaxmi.com.np,http://www.yetibank.com,Development Banks,Nepal Rastra Bank,Equity
403,SuryaJyoti Life Insurance Company Limited,SJLIC,SuryaJyoti Life Insurance Company Limited,A,it@suryalife.com,,Life Insurance,Nepal Insurance Board,Equity
405,Udhyam Bikas Bank Limited,UBBL,Udhyam Bikas Bank Limited,D,edbl@wlink.com.np,,Development Banks,Nepal Rastra Bank,Equity
406,Alpine Development Bank Limited,ALDBL,Alpine Development Bank Limited,D,info@alpinedevbank.com.np,http://www.alpinedevbank.com.np,Development Banks,Nepal Rastra Bank,Equity
407,Suryadarshan Finance Company Limited,SDFL,Suryadarshan Finance Company Limited,D,sdfcl@wlink.com.np,http://www.sdfinance.com.np,Finance,Nepal Rastra Bank,Equity
408,Zenith Finance Limited,ZFL,Zenith Finance Limited,D,info@zenith.com.np,,Finance,Nepal Rastra Bank,Equity
409,Swastik Merchant Finance Co. Ltd.,SMF,Swastik Merchant Finance Co. Ltd.,D,info@smfcl.com.np,http://www.smfcl.com.np,Finance,Nepal Rastra Bank,Equity
411,Subha Laxmi Finance Co. Ltd.,SLFL,Subha Laxmi Finance Co. Ltd.,D,subhalaxmi@wsn.com.np,http://www.shubhalaxmifinance.com.np,Finance,Nepal Rastra Bank,Equity
412,Gaurishankar Development Bank Ltd.,GSDBL,Gaurishankar Development Bank Ltd.,D,info@gsdbl.com.np,,Development Banks,Nepal Rastra Bank,Equity
413,Unique Finance Ltd.,UFIL,Unique Finance Ltd.,D,unique@uniquefinance.com.np,,Finance,Nepal Rastra Bank,Equity
414,Professional Diyalo Bikas Bank Ltd.,PRDBL,Professional Diyalo Bikas Bank Ltd.,D,diyalobank@gmail.com,http://www.diyalobank.com.np,Development Banks,Nepal Rastra Bank,Equity
416,Seti Finance Limited,SETI,Seti Finance Limited,D,info@seti.com.np,,Finance,Nepal Rastra Bank,Equity
417,Garima Bikas Bank Limited,GBBL,Garima Bikas Bank Limited,A,info@garimabank.com.np,,Development Banks,Nepal Rastra Bank,Equity
418,Jyoti Bikas Bank Limited,JBBL,Jyoti Bikas Bank Limited,A,krishna.oasti@jbbl.com.np,,Development Banks,Nepal Rastra Bank,Equity
419,Kankai Bikas Bank Ltd.,KNBL,Kankai Bikas Bank Ltd.,D,kbbl@kankaibank.com.np,,Development Banks,Nepal Rastra Bank,Equity
420,Gandaki Bikas Bank Limited,GDBL,Gandaki Bikas Bank Limited,D,chhabindra@gandakibank.com.np,,Development Banks,Nepal Rastra Bank,Equity
421,Hathway Finance Company Limited,HATH,Hathway Finance Company Limited,D,bikram.malla@hathwayfinance.com,,Finance,Nepal Rastra Bank,Equity
427,Kabeli Bikas Bank Limited,KEBL,Kabeli Bikas Bank Limited,D,kumar.khadka@kabelibank.com,,Development Banks,Nepal Rastra Bank,Equity
428,Karnali Development Bank Limited,KRBL,Karnali Development Bank Limited,A,info@kdblnepal.com,www.kdblnepal.com,Development Banks,Nepal Rastra Bank,Equity
441,Himalayan Finance Limited (Bittiya Sanstha),HFL,Himalayan Finance Limited (Bittiya Sanstha),S,info@hfl.com.np,,Finance,Nepal Rastra Bank,Equity
442,Tinau Development Bank Limited,TNBL,Tinau Development Bank Limited,D,reporting@tinaubank.com,,Development Banks,Nepal Rastra Bank,Equity
443,Araniko Development Bank Limited,ARDBL,Araniko Development Bank Limited,D,nabin@aranikobank.com,,Development Banks,Nepal Rastra Bank,Equity
444,Valley Finance Limited,VFL,Valley Finance Limited,D,info@valley.com.np,,Finance,Nepal Rastra Bank,Equity
445,Western Development Bank Limited,WDBL,Western Development Bank Limited,D,wdbldang@yahoo.com,http://www.wdbldang.com.np,Development Banks,Nepal Rastra Bank,Equity
446,Professional Bikas Bank Ltd.,PRBL,Professional Bikas Bank Ltd.,D,info@prbl.com.np,,Development Banks,Nepal Rastra Bank,Equity
447,Gurans Life Insurance Company Ltd.,GLICL,Gurans Life Insurance Company Ltd.,D,admin@guranslife.com,,Life Insurance,Nepal Insurance Board,Equity
448,Country Development Bank Ltd.,CNDBL,Country Development Bank Ltd.,D,info@cdbank.com.np,http://www.cdbank.com.np,Development Banks,Nepal Rastra Bank,Equity
450,Corporate Development Bank Limited,CORBL,Corporate Development Bank Limited,A,info@corporatebank.com.np,,Development Banks,Nepal Rastra Bank,Equity
451,Purnima Bikas Bank Ltd.,PURBL,Purnima Bikas Bank Ltd.,D,shailesh@purnimabank.com,,Development Banks,Nepal Rastra Bank,Equity
459,Kamana Sewa Bikas Bank Limited,KSBBL,Kamana Sewa Bikas Bank Limited,A,pranay.tuladhar@kamanasewabank.com,https://www.kamanasewabank.com/,Development Banks,Nepal Rastra Bank,Equity
460,Rara Bikas Bank Limited,RARA,Rara Bikas Bank Limited,D,rdbl@ntc.net.np,,Development Banks,Nepal Rastra Bank,Equity
470,Hama Merchant & Finance Ltd.,HAMA,Hama Merchant & Finance Ltd.,D,info@hamafinance.com.np,,Finance,Nepal Rastra Bank,Equity
471,Multipurpose Finance Company  Limited,MPFL,Multipurpose Finance Company  Limited,A,mfclfin43@gmail.com,,Finance,Nepal Rastra Bank,Equity
472,SHANGRI-LA DEVELOPMENT BANK LIMITED,SADBL,Shangrila Development Bank Ltd.,A,info@shangrilabank.com,www.shangrilabank.com,Development Banks,Nepal Rastra Bank,Equity
473,SHINE RESUNGA DEVELOPMENT BANK LTD,SHINE,Shine Resunga Development Bank Ltd.,A,info@srdb.com.np,https://srdb.com.np/,Development Banks,Nepal Rastra Bank,Equity
474,Muktinath Bikas Bank Ltd.,MNBBL,Muktinath Bikas Bank Ltd.,A,info@muktinathbank.com.np,,Development Banks,Nepal Rastra Bank,Equity
487,Bhargav Bikash Bank Ltd.,BHBL,Bhargav Bikash Bank Ltd.,D,prjoshi@bhargavbank.com.np,,Development Banks,Nepal Rastra Bank,Equity
489,Bagmati Development Bank Ltd.,BGDBL,Bagmati Development Bank Ltd.,D,bagmatibank@info.com,,Development Banks,Nepal Rastra Bank,Equity
490,First Micro Finance Laghubitta Bittiya Sanstha Limited,FMDBL,First Micro Finance Laghubitta Bittiya Sanstha Limited,A,bijay@fmdb.com.np,,Microfinance,Nepal Rastra Bank,Equity
496,Janata Bank Nepal Ltd.,JBNL,Janata Bank Nepal Ltd.,D,bishwa.subedi@janatabank.com.np,http://www.janatabank.com.np,Commercial Banks,Nepal Rastra Bank,Equity
502,Summit Micro Finance Development Bank Ltd.,SMFDB,Summit Laghubitta Bittiya Sanstha Limited,D,slbsl2065@gmail.com,,Microfinance,Nepal Rastra Bank,Equity
503,Tourism Development Bank Limited,TDBL,Tourism Development Bank Limited,D,info@tdbl.com.np,http://www.tdbl.com.np,Development Banks,Nepal Rastra Bank,Equity
504,Gulmi Bikas Bank Ltd.,GULMI,Gulmi Bikas Bank Ltd.,D,info@gulmi.com.np,,Development Banks,Nepal Rastra Bank,Equity
505,Kanchan Development Bank Limited,KADBL,Kanchan Development Bank Limited,D,biruram@kanchanbank.com.np,,Development Banks,Nepal Rastra Bank,Equity
506,Nepal Consumer Development Bank Ltd.,NCDBL,Nepal Consumer Development Bank Ltd.,D,info@cndbl.com.np,,Development Banks,Nepal Rastra Bank,Equity
512,Pacific Development Bank Limited,PADBL,Pacific Development Bank Limited,D,info@pcific.com.np,,Development Banks,Nepal Rastra Bank,Equity
513,Metro Development Bank Limited,METRO,Metro Development Bank Limited,D,info@metrodevbank.com.np,,Development Banks,Nepal Rastra Bank,Equity
514,Rising Development Bank Ltd.,RDBL,Rising Development Bank Ltd.,D,info@risingbank.com,,Development Banks,Nepal Rastra Bank,Equity
516,Manjushree Finance Ltd.,MFIL,Manjushree Finance Ltd.,A,info@manjushreefinance.com.np,manjushreefinance.com.np,Finance,Nepal Rastra Bank,Equity
517,Nepal Bank Limited,NBL,Nepal Bank Limited,A,suresh.ghimire@nbl.com.np,www.nepalbank.com.np,Commercial Banks,Nepal Rastra Bank,Equity
526,Siddhartha Bank Limited,SIGS1,Siddhartha Investment Growth Scheme-1,D,laxman.ghimire@sbl.com.np,,Commercial Banks,Nepal Rastra Bank,Mutual Funds
529,Innovative Development Bank Ltd.,INDB,Innovative Development Bank Ltd.,D,info@indb.com,,Development Banks,Nepal Rastra Bank,Equity
531,Kakre Bihar Bikash Bank Ltd,KKBL,Kakre Bihar Bikash Bank Ltd,D,info@kbbl.com,,Development Banks,Nepal Rastra Bank,Equity
532,Civil Bank Ltd,CBL,Civil Bank Ltd,D,hirakaji.basnet@civilbank.com.np,,Commercial Banks,Nepal Rastra Bank,Equity
533,Civic Development Bank Ltd,CIVIC,Civic Development Bank Ltd,D,civic@gmail.com,,Development Banks,Nepal Rastra Bank,Equity
535,Bright Development Bank Ltd,BRTBL,Bright Development Bank Ltd,D,bright@gmail.com,,Development Banks,Nepal Rastra Bank,Equity
536,International Development Bank Ltd,INDBL,International Development Bank Ltd,D,info@internationalbank.com.np,,Development Banks,Nepal Rastra Bank,Equity
537,Khandbari Development Bank Ltd,KHDBL,Khandbari Development Bank Ltd,D,info@khdbl.com,,Development Banks,Nepal Rastra Bank,Equity
538,Nabil Bank Limited,NBF1,Nabil Balance Fund 1,D,company.affairs@nabilbank.com,www.nabilbank.com,Commercial Banks,Nepal Rastra Bank,Mutual Funds
539,Commerz and Trust Bank Nepal Ltd.,CTBNL,Commerz and Trust Bank Nepal Ltd.,D,info@ctbnl.com,http://www.ctbanknepal.com,Commercial Banks,Nepal Rastra Bank,Equity
545,Swarojgar Laghubitta Bittiya Sanstha Ltd.,SLBBL,Swarojgar Laghubitta Bittiya Sanstha Ltd.,A,info@slbbl.com.np,www.slbbl.com.np,Microfinance,Nepal Rastra Bank,Equity
559,NLG Insurance Company Ltd.,NLG,NLG Insurance Company Ltd.,A,manoj.shrestha@nlgi.com.np,,Non Life Insurance,Nepal Insurance Board,Equity
561,Sindhu Bikash Bank Ltd,SINDU,Sindhu Bikash Bank Ltd,A,info@sindhubank.com.np,,Development Banks,Nepal Rastra Bank,Equity
562,Mega  Bank Nepal Ltd.,MEGA,Mega  Bank Nepal Ltd.,D,nepse@megabank.com.np,,Commercial Banks,Nepal Rastra Bank,Equity
563,Jhimruk Bikas Bank Ltd.,JHBL,Jhimruk Bikas Bank Ltd.,D,info@jhimruk.com,,Development Banks,Nepal Rastra Bank,Equity
570,Mission Development Bank Ltd.,MIDBL,Mission Development Bank Ltd.,D,bishnuzi@missionbanknepal.com.np,,Development Banks,Nepal Rastra Bank,Equity
571,Namaste Bittiya Sanstha Ltd.,NBSL,Namaste Bittiya Sanstha Ltd.,D,info@nbsl.com.np,,Finance,Nepal Rastra Bank,Equity
572,Gaumukhee Bikas Bank Ltd.,GABL,Gaumukhee Bikas Bank Ltd.,D,gaumukhi.bijuwar@gmail.com,,Development Banks,Nepal Rastra Bank,Equity
574,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,A,info@skbbl.com.np,http://www.skbbl.com.np,Microfinance,Nepal Rastra Bank,Equity
575,RMDC Laghubitta Bittiya Sanstha Ltd.,RMDC,RMDC Laghubitta Bittiya Sanstha Ltd.,D,rmdc@rmdcnepal.com,http://www.rmdcnepalc.com,Microfinance,Nepal Rastra Bank,Equity
576,Hamro Bikas Bank Ltd.,HAMRO,Hamro Bikas Bank Ltd.,D,paras.kandel@hamrobank.com,http://www.hamrobank.com,Development Banks,Nepal Rastra Bank,Equity
577,Jebils Finance Ltd.,JEFL,Jebils Finance Ltd.,D,jln@jebils.com,http://www.jebil.com,Finance,Nepal Rastra Bank,Equity
583,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,GBLBS,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,A,info@gblbs.com.np,http://www.grameenbanknepal.com,Microfinance,Nepal Rastra Bank,Equity
587,Reliance Finance Ltd.,RLFL,Reliance Finance Ltd.,A,loginnepse@reliancenepal.com.np,,Finance,Nepal Rastra Bank,Equity
588,Manaslu Bikas Bank Ltd.,MSBBL,Manaslu Bikas Bank Ltd.,D,info@manaslu.com,,Development Banks,Nepal Rastra Bank,Equity
591,Sanima Mai Hydropower Limited,SHPC,Sanima Mai Hydropower Ltd.,A,sanimamai@sanimahydro.com,www.maihydro.com,Hydro Power,Nepal Hydropower Board,Equity
592,Naya Sarathi Laghubitta Bittiya Sanstha Limited,NSLB,Naya Sarathi Laghubitta Bittiya Sanstha Limited,D,nimdilen@gmail.com,,Microfinance,Nepal Rastra Bank,Equity
593,Kalika Laghubitta Bittiya Sanstha Ltd,KMCDB,Kalika Laghubitta Bittiya Sanstha Ltd,A,info@kalikabank.com.np,www.kalikabank.com.np,Microfinance,Nepal Rastra Bank,Equity
595,Matribhumi Development Bank Ltd.,MTBL,Matribhumi Development Bank Ltd.,D,binodrajthapa@yahoo.com,,Development Banks,Nepal Rastra Bank,Equity
598,Nepal Community Development Bank Ltd.,NCDB,Nepal Community Development Bank Ltd.,D,bhakta.khadka@ncdbank.com,http://www.ncdbank.com,Development Banks,Nepal Rastra Bank,Equity
600,Cosmos Development Bank Ltd.,CSDBL,Cosmos Development Bank Ltd.,D,info@cosmosbank.com.np,,Development Banks,Nepal Rastra Bank,Equity
601,Mithila LaghuBitta Bittiya Sanstha Limited,MLBBL,Mithila LaghuBitta Bittiya Sanstha Limited,A,mlboperationdepart@gmail.com,http://www.mldbank.com.np,Microfinance,Nepal Rastra Bank,Equity
602,NagBeli LaghuBitta Bikas Bank Ltd.,NBBL,NagBeli LaghuBitta Bikas Bank Ltd.,D,nagbeli.nagbeli@gmail.com,,Microfinance,Nepal Rastra Bank,Equity
605,Century Commercial Bank Ltd.,CCBL,Century Commercial Bank Ltd.,D,welcome@centurybank.com.np,,Commercial Banks,Nepal Rastra Bank,Equity
608,Taragaon Regency Hotel Limited,TRHPR,Taragaon Regency Hotels Ltd. Preference Share,D,info@taragaon.com,,Hotels And Tourism,Ministry of Tourism,Preference Shares
610,Ridi Power Company Limited,RIDI,Ridi Power Company Limited,A,sayikanepal@gmail.com,,Hydro Power,Nepal Hydropower Board,Equity
614,Mount Makalu Development Bank Ltd.,MMDBL,Mount Makalu Development Bank Ltd.,D,info@mmdbank.com,,Development Banks,Nepal Rastra Bank,Equity
616,Siddhartha Bank Limited,SEOS,Siddhartha Equity Orineted Scheme,S,laxman.ghimire@sbl.com.np,,Commercial Banks,Nepal Rastra Bank,Mutual Funds
617,Ekata Bikas Bank Ltd.,EKBL,Ekata Bikas Bank Ltd.,D,info@ekatabank.com.np,http://www.ekatabank.com.np,Development Banks,Nepal Rastra Bank,Equity
618,Laxmi Laghubitta Bittiya Sanstha Ltd.,LLBS,Laxmi Laghubitta Bittiya Sanstha Ltd.,A,company.secretary@laxmilaghu.com.np,https://laxmilaghu.com.np/,Microfinance,Nepal Rastra Bank,Equity
625,Sahara Bikas Bank Ltd.,SHBL,Sahara Bikas Bank Ltd.,D,info@sahara.com,,Development Banks,Nepal Rastra Bank,Equity
627,Kalinchowk Development Bank Ltd.,KCDBL,Kalinchowk Development Bank Ltd.,D,info@kdevbank.com,,Development Banks,Nepal Rastra Bank,Equity
629,NMB Bank Limited,NMBSF1,NMB Sulav Investment Fund-1,D,pramod.dahal@nmb.com.np,http://www.nmb.com.np,Commercial Banks,Nepal Rastra Bank,Mutual Funds
636,Nepal Investment Mega Bank Limited,NIBSF1,NIBL Samriddhi Fund 1,D,NIBL.Nepse@nibl.com.np,http://www.nibl.com.np,Commercial Banks,Nepal Rastra Bank,Mutual Funds
674,Laxmi Sunrise Bank Limited,LVF1,Laxmi Value Fund-1,D,piyush.aryal@laxmibank.com,,Commercial Banks,Nepal Rastra Bank,Mutual Funds
679,Raptibheri Bikas Bank Ltd.,RBBBL,Raptibheri Bikas Bank Ltd.,D,raptibherimis@yahoo.com,,Development Banks,Nepal Rastra Bank,Equity
680,Bhaktapur Finance Co. Ltd.,BFCL,Bhaktapur Finance Co. Ltd.,D,info@bktfinance.com,,Finance,Nepal Rastra Bank,Equity
682,Mirmire Laghubitta Bittya Sanstha Limited,MMFDB,Mirmire Laghubitta Bittya Sanstha Limited,D,info@mirmirebank.com.np,http://www.mirmirebank.com.np,Microfinance,Nepal Rastra Bank,Equity
686,Barun Hydropower Co. Ltd.,BARUN,Barun Hydropower Co. Ltd.,A,barunhydro@gmail.com,,Hydro Power,Nepal Hydropower Board,Equity
687,Vijaya laghubitta Bittiya Sanstha Ltd.,VLBS,Vijaya laghubitta Bittiya Sanstha Ltd.,A,vlbs@vlbs.com.np,,Microfinance,Nepal Rastra Bank,Equity
691,Mahila Sahayatra Microfinance Bittiya Sanstha Ltd.,MSMBS,Mahila Sahayatra Microfinance Bittiya Sanstha Ltd.,D,mahilasahayatra@gmail.com,,Microfinance,Nepal Rastra Bank,Equity
692,Siddhartha Bank Limited,SBLD78,7.5% sbl debenture,D,laxman.ghimire@sbl.com.np,,Commercial Banks,Nepal Rastra Bank,Mutual Funds
693,Himalayan Laghubitta Bittiya Sanstha Limited,HLBSL,Himalayan Laghubitta Bittiya Sanstha Limited,A,info@himalayanlaghubitta.com,www.himalayanlaghubitta.com,Microfinance,Nepal Rastra Bank,Equity
694,Matribhumi Lagubitta Bittiya Sanstha Limited,MATRI,Matribhumi Lagubitta Bittiya Sanstha Limited,A,secretorykisanmf079@gmail.com,,Microfinance,Nepal Rastra Bank,Equity
695,Janautthan Samudayic Laghubitta Bittya Sanstha Limited,JSLBB,Janautthan Samudayic Laghubitta Bittya Sanstha Limited,A,info@jucbank.com.np,,Microfinance,Nepal Rastra Bank,Equity
697,API POWER COMPANY LIMITED,API,Api Power Company Ltd.,A,apipowercompany@gmail.com,www.apipower.com.np,Hydro Power,Nepal Hydropower Board,Equity
704,NMB  Microfinance Bittiya Sanstha Ltd.,NMBMF,NMB  Microfinance Bittiya Sanstha Ltd.,A,surya.thapa@nmbmicrofinance.com,http://www.cleanvillage.com.np,Microfinance,Nepal Rastra Bank,Equity
705,Global IME Laghubitta Bittiya Sanstha Ltd.,GILB,Global IME Laghubitta Bittiya Sanstha Ltd.,A,info@gilb.com.np,http://www.gilb.com.np,Microfinance,Nepal Rastra Bank,Equity
706,Suryodaya Womi Laghubitta Bittiya Sanstha Limited,SWMF,Suryodaya Womi Laghubitta Bittiya Sanstha Limited,A,pramesh.swmfi@gmail.com,,Microfinance,Nepal Rastra Bank,Equity
1733,Saptakoshi Development Bank Ltd.,SKDBL,Saptakoshi Development Bank Ltd.,D,devi@skdbl.com.np,http://www.skdbl.com.np,Development Banks,Nepal Rastra Bank,Equity
1735,Sajha Bikas Bank Ltd.,SAJHA,Sajha Bikas Bank Ltd.,D,info@sajhabank.com.np,http://www.sajhabank.com.np,Development Banks,Nepal Rastra Bank,Equity
1740,Global IME Bank Limited,GIMES1,Global IME Samunnat Scheme-1,D,nlisting@gibl.com.np,http://www.globalimebank.com,Commercial Banks,Nepal Rastra Bank,Mutual Funds
1741,Mero Microfinance Bittiya Sanstha Ltd.,MERO,Mero Microfinance Bittiya Sanstha Ltd.,A,meromicrofinance@gmail.com,,Microfinance,Nepal Rastra Bank,Equity
2742,Hydorelectricity Investment and Development Company Ltd,HIDCL,Hydorelectricity Investment and Development Company Ltd,A,jbasnet@hidcl.org.np,www.hidcl.org.np,Investment,Nepal Rastra Bank,Equity
2743,Ngadi Group Power Ltd.,NGPL,Ngadi Group Power Ltd.,A,nyadigroup06@gmail.com,,Hydro Power,Nepal Hydropower Board,Equity
2744,Green Development Bank Ltd.,GRDBL,Green Development Bank Ltd.,A,info@greenbank.com.np,http://greenbank.com.np/,Development Banks,Nepal Rastra Bank,Equity
2746,National  Laghubitta Bittiya Sanstha Limited,NMFBS,National Laghubitta Bittiya Sanstha Limited,A,hofficenmfbs@gmail.com,http://www.nationalmicrofinance.com.np,Microfinance,Nepal Rastra Bank,Equity
2748,RSDC Laghubitta Bittiya Sanstha Ltd.,RSDC,RSDC Laghubitta Bittiya Sanstha Ltd.,A,info@rsdcmf.com,www.rsdcmf.com,Microfinance,Nepal Rastra Bank,Equity
2750,Suryodaya Laghubitta Bittiya Sanstha Ltd.,SLBS,Suryodaya Laghubitta Bittiya Sanstha Ltd.,D,suryodayalaghubitta@gmail.com,,Microfinance,Nepal Rastra Bank,Equity
2751,Khanikhola Hydropower Co. Ltd.,KKHC,Khanikhola Hydropower Co. Ltd.,A,khanikhola.hpc@gmail.com,,Hydro Power,Nepal Hydropower Board,Equity
2752,NMB Bank Limited,NMBHF1,NMB Hybrid Fund L-1,D,pramod.dahal@nmb.com.np,http://www.nmb.com.np,Commercial Banks,Nepal Rastra Bank,Mutual Funds
2753,Nabil Bank Limited,NEF,Nabil Equity Fund,D,company.affairs@nabilbank.com,www.nabilbank.com,Commercial Banks,Nepal Rastra Bank,Mutual Funds
2754,Dibyashwori Hydropower Ltd.,DHPL,Dibyashwori Hydropower Ltd.,A,dibyashwarihydropower@gmail.com,,Hydro Power,Nepal Hydropower Board,Equity
2755,Nepal Investment Mega Bank Limited,NIBLPF,NIBL Pragati Fund,D,NIBL.Nepse@nibl.com.np,http://www.nibl.com.np,Commercial Banks,Nepal Rastra Bank,Mutual Funds
2757,Arun Kabeli Power Ltd.,AKPL,Arun Kabeli Power Ltd.,A,arunkabeli@gmail.com,,Hydro Power,Nepal Hydropower Board,Equity
2758,Forward Microfinance Laghubitta Bittiya Sanstha Limited,FOWAD,Forward Microfinance Laghubitta Bittiya Sanstha Limited,A,info@forwardmfbank.com.np,,Microfinance,Nepal Rastra Bank,Equity
2759,Synergy Power Development Ltd.,SPDL,Synergy Power Development Ltd.,A,email.synergy@gmail.com,www.synergyhydro.com,Hydro Power,Nepal Hydropower Board,Equity
2760,United Modi Hydropower Ltd.,UMHL,United Modi Hydropower Ltd.,A,unitedmodi@ntc.net.np,www.umh.com.np,Hydro Power,Nepal Hydropower Board,Equity
2761,Samata Gharelu Laghubitta Bittiya Sanstha Limited,SMATA,Samata Gharelu Laghubitta Bittiya Sanstha Limited,A,samata@samata.org.np,www.samata.org.np,Microfinance,Nepal Rastra Bank,Equity
2764,Swadeshi Laghubitta Bittiya Sanstha Ltd.,SDESI,Swadeshi Laghubitta Bittiya Sanstha Ltd.,D,audit@swadeshibank.com,,Microfinance,Nepal Rastra Bank,Equity
2765,Laxmi Sunrise Bank Limited,LEMF,Laxmi Equity Fund,D,piyush.aryal@laxmibank.com,,Commercial Banks,Nepal Rastra Bank,Mutual Funds
2766,Chhyangdi Hydropower Ltd.,CHL,Chhyangdi Hydropower Ltd.,A,chhyangdihydropowerltd@gmail.com,,Hydro Power,Nepal Hydropower Board,Equity
2767,Himalayan Power Partner Ltd.,HPPL,Himalayan Power Partner Ltd.,A,hpphydro.binaya@gmail.com,http://www.hpp.com.np,Hydro Power,Nepal Hydropower Board,Equity
2768,Mahuli Laghubitta Bittiya Sanstha Limited,MSLB,Mahuli Laghubitta Bittiya Sanstha Limited,A,saroj.singh@mslbsl.com.np,mslbsl.com.np,Microfinance,Nepal Rastra Bank,Equity
2769,Nepal Hydro Developers Ltd,NHDL,Nepal Hydro Developers Ltd.,A,info@charnawathihydro.com,www.charnawatihydro.com,Hydro Power,Nepal Hydropower Board,Equity
2770,Siddhartha Bank Limited,SEF,Siddhartha Equity Fund,A,laxman.ghimire@sbl.com.np,,Commercial Banks,Nepal Rastra Bank,Mutual Funds
2771,Support Lagubitta Bittiya Sanstha Limited,SMB,Support Microfinance Bittiya Sanstha Ltd.,A,smicrofinance7@gmail.com,https://supportmicrofinance.com.np/,Microfinance,Nepal Rastra Bank,Equity
2773,Sanima Bank Limited,SAEF,Sanima Equity Fund,A,RUDRA@sanimabank.com,www.sanimabank.com,Commercial Banks,Nepal Rastra Bank,Mutual Funds
2774,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,USLB,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,A,prempathak021@gmail.com,http://www.unnatimfi.com.np,Microfinance,Nepal Rastra Bank,Equity
2776,Radhi Bidyut Company Ltd,RADHI,Radhi Bidyut Company Ltd,A,info@radhibidyut.com.np,,Hydro Power,Nepal Hydropower Board,Equity
2777,Arambha Microfinance Bittiya Sanstha Ltd.,AMFI,Arambha Microfinance Bittiya Sanstha Ltd.,D,aarambhamicrofinance@gmail.com,http://www.aarambhamf.com.np,Microfinance,Nepal Rastra Bank,Equity
2779,NIC Asia Bank Ltd.,NICGF,NIC Asia Growth Fund,A,nica.nots@nicasiabank.com,,Commercial Banks,Nepal Rastra Bank,Mutual Funds
2780,Citizens Bank International Limited,CMF1,Citizens Mutual Fund -1,A,rajendra.shrestha@ctznbank.com,www.ctznbank.com,Commercial Banks,Nepal Rastra Bank,Mutual Funds
2781,Wean Nepal Laghubitta Bittiya Sanstha Limited,WNLB,Wean Nepal Laghubitta Bittiya Sanstha Limited,A,nepalseva@gmail.com,,Microfinance,Nepal Rastra Bank,Equity
2783,Rairang Hydropower Development Company Ltd.,RRHP,Rairang Hydropower Development Company Ltd.,D,sayikanepal@gmail.com,http://www.ridihydro.com.np,Hydro Power,Nepal Hydropower Board,Equity
2784,Nadep Laghubittiya bittya Sanstha Ltd.,NADEP,Nadep Laghubittiya bittya Sanstha Ltd.,A,nadeplaghubitta@gmail.com,,Microfinance,Nepal Rastra Bank,Equity
2786,Panchakanya Mai Hydropower Ltd,PMHPL,Panchakanya Mai Hydropower Ltd,A,panchakanyamai@gmail.com,,Hydro Power,Nepal Hydropower Board,Equity
2787,Kalika power Company Ltd,KPCL,Kalika power Company Ltd,A,daraudikalikahydro@gmail.com,,Hydro Power,Nepal Hydropower Board,Equity
2788,Ankhu Khola Jalvidhyut Company Limited,AKJCL,Ankhu Khola Jalvidhyut Company Ltd,A,ankhukhola@yahoo.com,www.aankhukholahydropower.com.np,Hydro Power,Nepal Hydropower Board,Equity
2789,Joshi Hydropower Development Company Ltd,JOSHI,Joshi Hydropower Development Company Ltd,A,info@joshihydropower.com,www.joshihydropower.com,Hydro Power,Nepal Hydropower Board,Equity
