SN,Name,Symbol,Status,Sector,Instrument,Email,Website
227,Kutheli Bukhari Small Hydropower Limited,KBSH,Active,Hydro Power,Equity,kuthelihydro@gmail.com,kuthelihydropower.com
228,Reliable Nepal Life Insurance Limited,RNLI,Active,Life Insurance,Equity,share@reliablelife.com.np,https://reliablelife.com.np
229,Sun Nepal Life Insurance Company Limited,SNLI,Active,Life Insurance,Equity,info@snlic.com.np,https://www.snlic.com.np/
230,Manakamana Engineering Hydropower Limited,MEHL,Active,Hydro Power,Equity,hydromanakamana@gmail.com,www.hydromanakamana.com.np
231,Upper Lohore Khola Hydropower Company Limited,ULHC,Active,Hydro Power,Equity,upperlohore.hydro@gmail.com,www.ulkhp.com
232,Citizen Life Insurance Company Limited,CLI,Active,Life Insurance,Equity,info@citizenlifenepal.com,www.citizenlifenepal.com
233,Mandu Hydropower Limited,MANDU,Active,Hydro Power,Equity,info@manduhydropower.com,www.manduhydropower.com
234,Hathway Investment Nepal Limited,HATHY,Active,Investment,Equity,nepal.hathway@gmail.com,https://www.hathwaynepal.com.np/
235,Bhagawati Hydropower Development Company Limited,BGWT,Active,Hydro Power,Equity,bhdcpokhara1@gmail.com,www.bhagawatihydro.com.np
236,Mid Solu Hydropower Limited,MSHL,Active,Hydro Power,Equity,midsolu.hydropower@gmail.com,https://midsoluhydropower.com.np/
237,Sonapur Minerals And Oil Limited,SONA,Active,Manufacturing And Processing,Equity,finance@sonacement.com,www.sonacement.com
238,Mathillo Mailun Khola Jalvidhyut Limited,MMKJL,Active,Hydro Power,Equity,mailung@sanimahydro.com,sanimamailung.com
239,Trishuli Jal Vidhyut Company Limited,TVCL,Active,Hydro Power,Equity,tjvclshare2080@gmail.com,
240,Vision Lumbini Urja Company Limited,VLUCL,Active,Hydro Power,Equity,urja@visionlumbini.com.np,www.urja.visionlumbini.com.np
241,Muktinath Krishi Company Limited,MKCL,Active,Others,Equity,info@muktinathkrishi.com,www.muktinathkrishi.com
242,Chirkhwa Hydropower Limited,CKHL,Active,Hydro Power,Equity,chirkhwa@gmail.com,www.chirkhwahpl.com
243,Nepal Warehousing Company Limited,NWCL,Active,Others,Equity,info@nwcl.com.np,www.nwcl.com.np
244,Himalayan Reinsurance Limited,HRL,Active,Others,Equity,contactus@himalayanre.com,www.himalayanre.com
245,Sarbottam Cement Limited,SARBTM,Active,Manufacturing And Processing,Equity,info@sarbottamcement.com,www.sarbottamcement.com
